"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"891"	"To run this simulation, follow these steps:"	"За да използвате калкулатора, следвайте стъпките:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_bul-BGR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Обяснете отговора си, като използвате числени стойности, за да го подкрепите."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_bul-BGR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Използвайте функцията „влачене и пускане“, за да отговорите на въпроса."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_bul-BGR_MAT_MA157-Tyres_en21_MS2022.xlf"
"3981"	"Litres"	"Литра"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_bul-BGR_MAT_MA146-Fuel_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Кликнете върху две от квадратчетата, за да отговорите на въпроса."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_bul-BGR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4850"	"Mean"	"Средно аритметично"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_bul-BGR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Използвайте функцията &quot;влачене и пускане&quot;, за да отговорите на въпроса."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_bul-BGR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Използвайте функцията &quot;влачене и пускане&quot;, за да отговорите на въпроса."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_bul-BGR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликнете върху &lt;b&gt;Вярно&lt;/b&gt; или &lt;b&gt;Невярно&lt;/b&gt; за всяко от твърденията."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_bul-BGR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Използвайте функцията „влачене и пускане“, за да отговорите на въпроса."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_bul-BGR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5278"	"Mean"	"Средно аритметично"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_bul-BGR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Не забравяйте да изберете &lt;b&gt;едно или повече&lt;/b&gt; квадратчета."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_bul-BGR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Обяснете отговора си, като използвате числени стойности, за да го подкрепите."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_bul-BGR_MAT_MA146-Fuel_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Не забравяйте да изберете &lt;b&gt;едно или повече&lt;/b&gt; квадратчета."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_bul-BGR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Обединеното кралство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_bul-BGR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"5019"	"Mean"	"Средно аритметично"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_bul-BGR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"За да използвате калкулатора, следвайте стъпките:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_bul-BGR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_bul-BGR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5075"	"Statement"	"Въпрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_bul-BGR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Кликнете върху &lt;b&gt;Вярно&lt;/b&gt; или &lt;b&gt;Невярно&lt;/b&gt; за всяко твърдение."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_bul-BGR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_bul-BGR_MAT_MA113-HeartRate_en21_MS2022.xlf"
