"Segment"	"en-ZZ"	"el-GR"	"ID"	"File"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Μην ξεχάσεις να επιλέξεις &lt;b&gt; ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ell-GRC_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3189"	"A"	"Α"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_ell-GRC_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Μην ξεχάσεις να επιλέξεις &lt;b&gt; ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ell-GRC_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4591"	"A"	"Ζ"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Ζ"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5075"	"Statement"	"Ερώτηση"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ell-GRC_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"&lt;i&gt;Να επιλέξεις από τα αναδιπλούμενα μενού, για να απαντήσεις στην ερώτηση&lt;/i&gt;."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ell-GRC_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4580"	"D"	"Τ"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"&lt;i&gt;Να επιλέξεις από τα αναδιπλούμενα μενού, για να απαντήσεις στην ερώτηση&lt;/i&gt;."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ell-GRC_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4598"	"A"	"Ζ"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3195"	"A"	"Α"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_ell-GRC_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"991"	"Athlete"	"Αθλήτρια"	"MA113S02_stimulus_tr4td1_5c9d214a662899.59267784_0"	"PISA_ell-GRC_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4590"	"D"	"Τ"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3329"	"A"	"Α"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_ell-GRC_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ell-GRC_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Κάνε κλικ σε μια επιλογή και μετά πληκτρολόγησε μια εξήγηση για την απάντησή σου."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ell-GRC_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3981"	"Litres"	"Λίτρα"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_ell-GRC_MAT_MA146-Fuel_en21_MS2022.xlf"
"3201"	"A"	"Α"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_ell-GRC_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Για να χρησιμοποιήσεις το πρόγραμμα, ακολούθησε αυτά τα βήματα:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ell-GRC_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Κάνε κλικ σε δύο τετραγωνάκια, για να απαντήσεις στην ερώτηση."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ell-GRC_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Για να χρησιμοποιήσεις το πρόγραμμα, ακολούθησε αυτά τα βήματα:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ell-GRC_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3207"	"A"	"Α"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_ell-GRC_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Μην ξεχάσεις να επιλέξεις &lt;b&gt;ένα ή περισσότερα&lt;/b&gt; τετραγωνάκια."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ell-GRC_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ell-GRC_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4577"	"D"	"Τ"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4581"	"A"	"Ζ"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"Τ"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_ell-GRC_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
