"Segment"	"en-ZZ"	"fr-FR"	"ID"	"File"
"1334"	"&lt;i&gt;C&lt;/i&gt; ="	"&lt;i&gt;E&lt;/i&gt; ="	"M954_stimulus2_s2_tr2td2_50c78b30686c26.84543972_0"	"PISA_fra-FRA_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"677"	"Meagan"	"Marianne"	"M800_stimulus_tr1td5_50c796b597c437.81890431_0"	"PISA_fra-FRA_MAT_M800-ComputerGame_en15_MS2022.xlf"
"753"	"Carbon dioxide emissions&lt;br /&gt;(million metric tons of carbon)"	"Émissions de dioxyde de carbone &lt;br /&gt;(millions de tonnes de carbone)"	"M828_stimulus_g2label6_50c7a3b0e49ea8.78119087_0"	"PISA_fra-FRA_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
"1384"	"India"	"États-Unis"	"M955_stimulus_tr7td1_50c7905a7cc180.70901696_0"	"PISA_fra-FRA_MAT_M955-Migration_en15_MS2022.xlf"
"1375"	"Canada"	"Brésil"	"M955_stimulus_tr4td1_50c7905a7ca140.47925827_0"	"PISA_fra-FRA_MAT_M955-Migration_en15_MS2022.xlf"
"1331"	"&lt;i&gt;C&lt;/i&gt; ="	"&lt;i&gt;E&lt;/i&gt; ="	"M954_stimulus2_s2_tr2td1_50c78b30686420.57025285_0"	"PISA_fra-FRA_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1378"	"China"	"Canada"	"M955_stimulus_tr5td1_50c7905a7cabe6.30986807_0"	"PISA_fra-FRA_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Tapez votre réponse à la question à l'aide des touches numériques.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a4bb6bc315.85342146_0"	"PISA_fra-FRA_MAT_M464-Fence_en15_MS2022.xlf"
"676"	"Neil"	"Noël"	"M800_stimulus_tr1td4_50c796b597c0b0.11581856_0"	"PISA_fra-FRA_MAT_M800-ComputerGame_en15_MS2022.xlf"
"1287"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Montrez comment vous avez obtenu votre réponse.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77dc12eafe2.72621302_0"	"PISA_fra-FRA_MAT_M953-FluTest_en15_MS2022.xlf"
